City,Year,AQI,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
Ahmedabad,2015,310.9505703422053,79.26254480286738,,13.589770491803279,21.254117647058823,33.27895424836601,,13.589770491803279,32.03767973856209,31.347401315789476,4.631666666666667,12.417745098039216,3.286078431372549
Ahmedabad,2016,310.1623931623932,62.5012,,14.889119999999998,14.962879999999998,27.63416,,14.889119999999998,17.7744,19.680442477876106,1.6239226519337018,4.053149171270718,1.1500000000000001
Ahmedabad,2017,558.768115942029,88.75643835616438,,30.774461538461537,78.43307692307691,60.342800000000004,,30.774461538461537,101.61584615384615,51.99888888888889,7.566894409937888,23.034285714285716,5.902484472049689
Ahmedabad,2018,622.2633053221289,74.68878787878788,,33.24440771349862,84.93749311294766,60.43198347107438,,33.24440771349862,69.92406077348066,39.75302013422819,8.104931129476585,37.5431955922865,6.035619834710744
Ahmedabad,2019,516.3522727272727,62.11846796657381,120.14625550660793,26.13384401114206,91.0908635097493,62.8490082644628,,26.13384401114206,72.79216901408451,46.587849162011175,5.231317365269461,44.04787425149701,5.284264264264264
Ahmedabad,2020,242.0681818181818,43.34274725274725,107.56944444444444,10.618032786885246,31.0848087431694,22.458032786885244,,8.823169398907105,37.55301282051282,43.68430167597765,3.550441988950276,31.767403314917125,2.0118232044198896
Aizawl,2020,34.765765765765764,17.13,23.352857142857143,9.408053097345132,0.3884955752212389,12.610353982300886,22.308938053097343,0.2836283185840708,7.378053097345133,3.707692307692308,9.809285714285714,10.247346938775511,
Amaravati,2017,192.51351351351352,84.00605263157895,139.1021052631579,5.106052631578947,37.028684210526315,23.709473684210526,16.40157894736842,0.14605263157894735,15.101842105263158,84.84657894736843,0.26842105263157895,4.583421052631579,0.14210526315789473
Amaravati,2018,101.39102564102564,37.77943820224719,81.88400560224089,5.690504201680672,26.384565826330533,18.709103641456583,14.2290756302521,0.7269540229885058,12.079661016949151,36.943417366946775,0.8795845697329377,1.6483976261127595,1.634884792626728
Amaravati,2019,98.48543689320388,38.85481132075471,77.66625786163522,4.343616352201257,22.992735849056604,15.679716981132074,9.300188679245283,0.6377987421383647,15.444119496855345,35.7987106918239,0.36059748427672955,2.3309748427672954,0.21650519031141868
Amaravati,2020,59.87978142076503,26.089833333333335,50.29524590163935,2.0104371584699456,9.46120218579235,6.637103825136611,11.372622950819672,0.4992,16.315852272727273,34.72224043715847,0.3134972677595628,0.9501639344262295,1.7878260869565217
Amritsar,2017,148.06766917293234,73.57636042402827,144.68578358208956,20.986491228070175,20.60119298245614,60.28483146067416,20.456782006920417,0.5857142857142856,6.587824561403509,17.412412587412586,4.1524043715847,5.892530120481927,14.598536585365853
Amritsar,2018,122.92592592592592,54.75385185185185,123.70721590909092,18.441287128712872,21.823039772727274,41.068679867986795,9.064085714285714,0.4644372990353698,5.194818181818182,24.184119601328902,6.277491749174917,3.424455445544554,7.257434210526316
Amritsar,2019,109.5,50.68763736263736,97.31934065934065,17.147445054945056,15.830467032967032,28.755714285714287,15.47021978021978,0.5312087912087913,12.11767175572519,20.79280112044818,3.72217032967033,2.1124175824175824,5.561538461538462
Amritsar,2020,92.97701149425288,37.334886363636365,89.99793103448276,18.83278409090909,14.120397727272728,28.11346590909091,12.688522727272726,0.6888636363636363,10.307727272727274,31.54234567901235,1.5578977272727272,1.5846590909090907,4.489147727272727
Bengaluru,2015,112.57342657342657,28.725244755244756,67.339,6.855561643835617,19.92364383561644,15.904273972602741,21.757790055248616,5.556117318435754,6.233671232876712,26.008547486033518,16.137377049180326,12.121666666666666,
Bengaluru,2016,105.58404558404558,47.109692307692306,103.8764857142857,10.52185595567867,30.090997229916898,15.536126373626372,27.218597560975613,1.286694214876033,4.773795013850416,34.77671186440678,2.3804832713754647,2.9874509803921567,
Bengaluru,2017,87.12087912087912,35.31360335195531,84.95974930362117,10.316958904109589,36.346438356164384,6.893498622589532,27.36505988023952,1.0540384615384615,5.015753424657534,29.80987692307692,1.3610461538461538,1.3433903133903133,
Bengaluru,2018,86.30747922437673,34.851965317919074,79.46716374269006,11.494093406593407,28.56368131868132,28.740219178082192,26.63888888888889,0.9456712328767124,5.533076923076923,31.84005899705015,0.5357703081232493,1.8433333333333335,
Bengaluru,2019,91.6027397260274,35.424767123287666,75.61465753424658,9.931232876712329,28.376438356164382,29.987479452054796,15.057315068493152,0.9017534246575342,5.351178082191781,40.34287671232877,0.880986301369863,5.637534246575342,
Bengaluru,2020,79.71584699453553,30.465464480874317,67.0316393442623,5.308142076502732,21.41016393442623,22.59349726775956,11.024098360655739,0.871311475409836,6.8743169398907105,35.63743169398907,0.4583060109289618,3.9048633879781423,
Bhopal,2019,162.6095238095238,67.28849056603774,143.37424528301887,10.956320754716982,44.74905660377358,32.714622641509436,23.72669811320755,1.1785849056603774,12.529056603773585,57.15688679245283,,,
Bhopal,2020,114.7514450867052,39.563793103448276,104.67321839080459,4.649712643678161,23.179827586206898,16.162988505747126,16.236494252873563,0.698735632183908,13.391206896551726,61.49229885057471,,,
Brajrajnagar,2017,247.6,111.04333333333334,176.56583333333333,0.0225,11.844,0.04125,8.158333333333333,2.913684210526316,4.0063157894736845,6.457368421052632,0.0,,
Brajrajnagar,2018,154.99615384615385,68.170395256917,129.47727626459147,11.595451127819548,17.435799256505575,27.83078947368421,12.939848484848484,2.3801503759398495,13.294624060150376,13.27822641509434,2.93152,,
